P,tau2,s2,mu_ce,var_ce,se_ce,ef_ce,mu_eis,var_eis,se_eis,ef_eis,var_ratio,se_var_ratio
GMM_location_1.00,2.0,1.55,0.0,1.2893789,1.7184119e-06,94.56763,0.0,0.0681771,9.4302116e-08,94.56763,0.05287592,0.0005919767
GMM_location_1.00,2.0,1.575,0.0,1.2689123,1.6911362e-06,95.013084,0.0,0.06118023,8.497732e-08,95.013084,0.048214704,0.00054680853
GMM_location_1.00,2.0,1.5999999,0.0,1.2490859,1.664712e-06,95.41903,0.0,0.05506736,7.688381e-08,95.41903,0.04408613,0.00051064696
GMM_location_1.00,2.0,1.625,0.0,1.2298689,1.6391016e-06,95.78822,0.0,0.0497976,6.995254e-08,95.78822,0.04049017,0.00048314504
GMM_location_1.00,2.0,1.65,0.0,1.2112348,1.6142662e-06,96.12303,0.0,0.045332663,6.411512e-08,96.12303,0.03742682,0.0004638511
GMM_location_1.00,2.0,1.675,0.0,1.1931565,1.5901722e-06,96.42575,0.0,0.041636493,5.9304128e-08,96.42575,0.034896087,0.00045226375
GMM_location_1.00,2.0,1.6999999,0.0,1.1756103,1.5667881e-06,96.69856,0.0,0.038675237,5.5454837e-08,96.69856,0.03289801,0.0004479075
GMM_location_1.00,2.0,1.7249999,0.0,1.1585723,1.5440808e-06,96.94329,0.0,0.036416862,5.250708e-08,96.94329,0.03143253,0.00045041606
GMM_location_1.00,2.0,1.75,0.0,1.1420214,1.5220224e-06,97.16177,0.0,0.03483128,5.040838e-08,97.16177,0.030499674,0.00045959323
GMM_location_1.00,2.0,1.775,0.0,1.1259365,1.5005857e-06,97.355675,0.0,0.033890072,4.9116423e-08,97.355675,0.030099452,0.00047543907
GMM_location_1.00,2.0,1.8,0.0,1.1102985,1.4797442e-06,97.52654,0.0,0.03356638,4.859994e-08,97.52654,0.030231854,0.00049812836
GMM_location_1.00,2.0,1.8249999,0.0,1.095089,1.4594741e-06,97.6758,0.0,0.03383483,4.8838473e-08,97.6758,0.030896878,0.0005279653
GMM_location_1.00,2.0,1.85,0.0,1.0802903,1.4397509e-06,97.804794,0.0,0.03467141,4.9819665e-08,97.804794,0.03209453,0.0005653165
GMM_location_1.00,2.0,1.875,0.0,1.0658865,1.4205542e-06,97.91473,0.0,0.0360534,5.1535523e-08,97.91473,0.0338248,0.00061055314
GMM_location_1.00,2.0,1.9,0.0,1.0518618,1.4018631e-06,98.0068,0.0,0.037959263,5.3978848e-08,98.0068,0.03608769,0.0006640063
GMM_location_1.00,2.0,1.925,0.0,1.0382012,1.3836566e-06,98.08212,0.0,0.04036859,5.7139975e-08,98.08212,0.038883206,0.000725943
GMM_location_1.00,2.0,1.95,0.0,1.0248909,1.3659177e-06,98.141685,0.0,0.04326205,6.100571e-08,98.141685,0.042211372,0.0007965605
GMM_location_1.00,2.0,1.975,0.0,1.0119175,1.3486277e-06,98.186424,0.0,0.04662122,6.555868e-08,98.186424,0.046072155,0.0008759893
GMM_location_1.00,2.0,2.0,0.0,0.9992686,1.3317698e-06,98.217255,0.0,0.050428607,7.0778164e-08,98.217255,0.050465517,0.0009643067
GMM_location_1.00,2.0,2.0249999,0.0,0.98693204,1.3153283e-06,98.23498,0.0,0.05466765,7.6641555e-08,98.23498,0.055391505,0.001061554
GMM_location_1.00,2.0,2.05,0.0,0.97489625,1.2992875e-06,98.24043,0.0,0.05932263,8.312496e-08,98.24043,0.060850196,0.001167743
GMM_location_1.00,2.0,2.075,0.0,0.96315044,1.2836335e-06,98.23431,0.0,0.064378396,9.0204075e-08,98.23431,0.066841476,0.0012828648
GMM_location_1.00,2.0,2.1,0.0,0.95168436,1.2683519e-06,98.21732,0.0,0.069820665,9.7855256e-08,98.21732,0.07336536,0.0014069023
GMM_location_1.00,2.0,2.125,0.0,0.94048816,1.2534304e-06,98.1901,0.0,0.07563575,1.0605556e-07,98.1901,0.080421805,0.0015398319
GMM_location_1.00,2.0,2.1499999,0.0,0.92955226,1.2388559e-06,98.15324,0.0,0.08181073,1.1478331e-07,98.15324,0.0880109,0.0016816299
GMM_location_1.00,2.0,2.175,0.0,0.9188677,1.2246161e-06,98.10736,0.0,0.088333234,1.2401787e-07,98.10736,0.0961327,0.0018322712
