s,a,k,h,I
2021-04-15,80+,7,14,4051
2021-04-16,00-04,0,87,4647
2021-04-16,05-14,0,69,12642
2021-04-16,15-34,0,505,42602
2021-04-16,35-59,0,1143,51062
2021-04-16,60-79,0,1530,18015
2021-04-16,80+,0,870,3988
2021-04-16,00-04,1,8,4647
2021-04-16,05-14,1,5,12642
2021-04-16,15-34,1,129,42602
2021-04-16,35-59,1,513,51062
2021-04-16,60-79,1,580,18015
2021-04-16,80+,1,238,3988
2021-04-16,00-04,2,4,4647
2021-04-16,05-14,2,1,12642
2021-04-16,15-34,2,61,42602
2021-04-16,35-59,2,272,51062
2021-04-16,60-79,2,342,18015
2021-04-16,80+,2,111,3988
2021-04-16,00-04,3,2,4647
2021-04-16,05-14,3,3,12642
2021-04-16,15-34,3,22,42602
2021-04-16,35-59,3,111,51062
2021-04-16,60-79,3,152,18015
2021-04-16,80+,3,63,3988
2021-04-16,00-04,4,0,4647
2021-04-16,05-14,4,2,12642
2021-04-16,15-34,4,10,42602
2021-04-16,35-59,4,36,51062
2021-04-16,60-79,4,49,18015
2021-04-16,80+,4,28,3988
2021-04-16,00-04,5,1,4647
2021-04-16,05-14,5,0,12642
2021-04-16,15-34,5,10,42602
2021-04-16,35-59,5,42,51062
2021-04-16,60-79,5,69,18015
2021-04-16,80+,5,22,3988
2021-04-16,00-04,6,1,4647
2021-04-16,05-14,6,1,12642
2021-04-16,15-34,6,6,42602
2021-04-16,35-59,6,24,51062
2021-04-16,60-79,6,36,18015
2021-04-16,80+,6,8,3988
2021-04-16,00-04,7,2,4647
2021-04-16,05-14,7,1,12642
2021-04-16,15-34,7,4,42602
2021-04-16,35-59,7,26,51062
2021-04-16,60-79,7,34,18015
2021-04-16,80+,7,14,3988
2021-04-17,00-04,0,78,4668
2021-04-17,05-14,0,67,13331
2021-04-17,15-34,0,459,42773
2021-04-17,35-59,0,1037,50916
2021-04-17,60-79,0,1411,17714
2021-04-17,80+,0,864,4000
2021-04-17,00-04,1,11,4668
2021-04-17,05-14,1,8,13331
2021-04-17,15-34,1,161,42773
2021-04-17,35-59,1,540,50916
2021-04-17,60-79,1,629,17714
2021-04-17,80+,1,240,4000
2021-04-17,00-04,2,6,4668
2021-04-17,05-14,2,1,13331
2021-04-17,15-34,2,64,42773
2021-04-17,35-59,2,295,50916
2021-04-17,60-79,2,368,17714
2021-04-17,80+,2,114,4000
2021-04-17,00-04,3,2,4668
2021-04-17,05-14,3,2,13331
2021-04-17,15-34,3,27,42773
2021-04-17,35-59,3,119,50916
2021-04-17,60-79,3,158,17714
2021-04-17,80+,3,66,4000
2021-04-17,00-04,4,0,4668
2021-04-17,05-14,4,2,13331
2021-04-17,15-34,4,10,42773
2021-04-17,35-59,4,40,50916
2021-04-17,60-79,4,56,17714
2021-04-17,80+,4,34,4000
2021-04-17,00-04,5,0,4668
2021-04-17,05-14,5,0,13331
2021-04-17,15-34,5,12,42773
2021-04-17,35-59,5,44,50916
2021-04-17,60-79,5,63,17714
2021-04-17,80+,5,25,4000
2021-04-17,00-04,6,0,4668
2021-04-17,05-14,6,2,13331
2021-04-17,15-34,6,6,42773
2021-04-17,35-59,6,24,50916
2021-04-17,60-79,6,41,17714
2021-04-17,80+,6,11,4000
2021-04-17,00-04,7,1,4668
2021-04-17,05-14,7,0,13331
2021-04-17,15-34,7,3,42773
2021-04-17,35-59,7,28,50916
2021-04-17,60-79,7,31,17714
2021-04-17,80+,7,12,4000
2021-04-18,00-04,0,71,4818
2021-04-18,05-14,0,69,13662
2021-04-18,15-34,0,441,43166
2021-04-18,35-59,0,987,51283
2021-04-18,60-79,0,1324,17839
2021-04-18,80+,0,822,4035
2021-04-18,00-04,1,15,4818
2021-04-18,05-14,1,8,13662
2021-04-18,15-34,1,160,43166
2021-04-18,35-59,1,572,51283
2021-04-18,60-79,1,677,17839
2021-04-18,80+,1,270,4035
2021-04-18,00-04,2,5,4818
2021-04-18,05-14,2,2,13662
2021-04-18,15-34,2,67,43166
2021-04-18,35-59,2,321,51283
2021-04-18,60-79,2,390,17839
2021-04-18,80+,2,119,4035
2021-04-18,00-04,3,3,4818
2021-04-18,05-14,3,3,13662
2021-04-18,15-34,3,30,43166
2021-04-18,35-59,3,122,51283
2021-04-18,60-79,3,155,17839
2021-04-18,80+,3,61,4035
2021-04-18,00-04,4,0,4818
2021-04-18,05-14,4,2,13662
2021-04-18,15-34,4,12,43166
2021-04-18,35-59,4,53,51283
2021-04-18,60-79,4,63,17839
2021-04-18,80+,4,28,4035
2021-04-18,00-04,5,1,4818
2021-04-18,05-14,5,1,13662
2021-04-18,15-34,5,11,43166
2021-04-18,35-59,5,50,51283
2021-04-18,60-79,5,62,17839
2021-04-18,80+,5,24,4035
2021-04-18,00-04,6,0,4818
2021-04-18,05-14,6,3,13662
2021-04-18,15-34,6,6,43166
2021-04-18,35-59,6,26,51283
2021-04-18,60-79,6,46,17839
2021-04-18,80+,6,14,4035
2021-04-18,00-04,7,1,4818
2021-04-18,05-14,7,0,13662
2021-04-18,15-34,7,4,43166
2021-04-18,35-59,7,25,51283
2021-04-18,60-79,7,29,17839
2021-04-18,80+,7,10,4035
2021-04-19,00-04,0,76,4931
2021-04-19,05-14,0,69,14088
2021-04-19,15-34,0,455,43893
2021-04-19,35-59,0,1048,52144
2021-04-19,60-79,0,1465,18126
2021-04-19,80+,0,852,4101
2021-04-19,00-04,1,11,4931
2021-04-19,05-14,1,9,14088
2021-04-19,15-34,1,138,43893
2021-04-19,35-59,1,537,52144
2021-04-19,60-79,1,633,18126
2021-04-19,80+,1,244,4101
2021-04-19,00-04,2,1,4931
2021-04-19,05-14,2,0,14088
2021-04-19,15-34,2,64,43893
2021-04-19,35-59,2,298,52144
2021-04-19,60-79,2,364,18126
2021-04-19,80+,2,118,4101
2021-04-19,00-04,3,3,4931
2021-04-19,05-14,3,2,14088
2021-04-19,15-34,3,25,43893
2021-04-19,35-59,3,108,52144
2021-04-19,60-79,3,140,18126
2021-04-19,80+,3,53,4101
2021-04-19,00-04,4,0,4931
2021-04-19,05-14,4,2,14088
2021-04-19,15-34,4,11,43893
2021-04-19,35-59,4,54,52144
2021-04-19,60-79,4,65,18126
2021-04-19,80+,4,33,4101
